scenario,prefix_checkups,prefix_end_days,independent_condition_count,candidate_trajectory_iae_pp_mean,comparator_trajectory_iae_pp_mean,mean_paired_delta_iae_pp,maximum_condition_regression_pp,candidate_better_condition_count,candidate_worse_condition_count,candidate_equal_condition_count,scenario_mean_improvement_met,scenario_no_condition_regression_met,scenario_has_observed_improvement
v3_soc_interpolation_at_40c,5,29.504583333333333,4,3.1466527535044291,3.1466527535044291,0,0,0,0,4,False,True,False
v3_unseen_temperature_level,5,29.504583333333333,17,4.2657836677042686,4.2657836677042686,0,0,0,0,17,False,True,False
v3_soc_interpolation_at_40c,8,81.041666666666671,4,0.87224317571985899,2.0702420727829702,-1.1979988970631112,0,1,0,3,True,True,True
v3_unseen_temperature_level,8,81.041666666666671,17,1.2508513619324433,1.4645885153780909,-0.21373715344564731,0.60828536019530355,1,2,14,True,False,True
v3_soc_interpolation_at_40c,10,136.94583333333333,4,0.22911997132556866,0.77863390346773398,-0.54951393214216537,0,1,0,3,True,True,True
v3_unseen_temperature_level,10,136.94583333333333,17,0.39728836054857353,0.52837319830812446,-0.13108483775955082,0,3,0,14,True,True,True
v3_soc_interpolation_at_40c,14,239.71250000000001,4,0.17874518798274322,0.23362220407775128,-0.054877016095008085,0,1,0,3,True,True,True
v3_unseen_temperature_level,14,239.71250000000001,17,0.33516468428134444,0.33809614341407179,-0.0029314591327273534,0.048279793130974941,2,1,14,True,False,True
