"candidate_id","model_id","family","reference_count","aggregation","mean_trajectory_mae_pp","median_trajectory_mae_pp","maximum_cell_prefix_mae_pp"
"direct_extra_trees_leaf5","direct_extra_trees_leaf5","extra_trees","0","not_applicable","0.39717711992842014","0.15442206985325285","4.7292723122238884"
"pairwise_extra_trees_leaf3_48__k12__single_nearest","pairwise_extra_trees_leaf3_48","extra_trees","12","single_nearest","0.41511689611129793","0.18079023890495283","4.5133672007678314"
"pairwise_extra_trees_leaf3_48__k16__single_nearest","pairwise_extra_trees_leaf3_48","extra_trees","16","single_nearest","0.41511689611129793","0.18079023890495283","4.5133672007678314"
"pairwise_extra_trees_leaf3_48__k4__single_nearest","pairwise_extra_trees_leaf3_48","extra_trees","4","single_nearest","0.41511689611129793","0.18079023890495283","4.5133672007678314"
"pairwise_extra_trees_leaf3_48__k8__single_nearest","pairwise_extra_trees_leaf3_48","extra_trees","8","single_nearest","0.41511689611129793","0.18079023890495283","4.5133672007678314"
"pairwise_extra_trees_leaf8_48__k12__single_nearest","pairwise_extra_trees_leaf8_48","extra_trees","12","single_nearest","0.42051294464732053","0.18238665792355124","4.5017002075277333"
"pairwise_extra_trees_leaf8_48__k16__single_nearest","pairwise_extra_trees_leaf8_48","extra_trees","16","single_nearest","0.42051294464732053","0.18238665792355124","4.5017002075277333"
"pairwise_extra_trees_leaf8_48__k4__single_nearest","pairwise_extra_trees_leaf8_48","extra_trees","4","single_nearest","0.42051294464732053","0.18238665792355124","4.5017002075277333"
"pairwise_extra_trees_leaf8_48__k8__single_nearest","pairwise_extra_trees_leaf8_48","extra_trees","8","single_nearest","0.42051294464732053","0.18238665792355124","4.5017002075277333"
"pairwise_extra_trees_leaf16_48__k12__single_nearest","pairwise_extra_trees_leaf16_48","extra_trees","12","single_nearest","0.42324289216294059","0.16429020655933935","4.5485425711431571"
"pairwise_extra_trees_leaf16_48__k16__single_nearest","pairwise_extra_trees_leaf16_48","extra_trees","16","single_nearest","0.42324289216294059","0.16429020655933935","4.5485425711431571"
"pairwise_extra_trees_leaf16_48__k4__single_nearest","pairwise_extra_trees_leaf16_48","extra_trees","4","single_nearest","0.42324289216294059","0.16429020655933935","4.5485425711431571"
"pairwise_extra_trees_leaf16_48__k8__single_nearest","pairwise_extra_trees_leaf16_48","extra_trees","8","single_nearest","0.42324289216294059","0.16429020655933935","4.5485425711431571"
"pairwise_hist_gbdt_leaf40__k12__single_nearest","pairwise_hist_gbdt_leaf40","hist_gbdt","12","single_nearest","0.42836611051489082","0.19665303705375725","4.6126034574453065"
"pairwise_hist_gbdt_leaf40__k16__single_nearest","pairwise_hist_gbdt_leaf40","hist_gbdt","16","single_nearest","0.42836611051489082","0.19665303705375725","4.6126034574453065"
"pairwise_hist_gbdt_leaf40__k4__single_nearest","pairwise_hist_gbdt_leaf40","hist_gbdt","4","single_nearest","0.42836611051489082","0.19665303705375725","4.6126034574453065"
"pairwise_hist_gbdt_leaf40__k8__single_nearest","pairwise_hist_gbdt_leaf40","hist_gbdt","8","single_nearest","0.42836611051489082","0.19665303705375725","4.6126034574453065"
"pairwise_hist_gbdt_leaf20__k12__single_nearest","pairwise_hist_gbdt_leaf20","hist_gbdt","12","single_nearest","0.43170587160469726","0.19320479007745467","4.6204638865894481"
"pairwise_hist_gbdt_leaf20__k16__single_nearest","pairwise_hist_gbdt_leaf20","hist_gbdt","16","single_nearest","0.43170587160469726","0.19320479007745467","4.6204638865894481"
"pairwise_hist_gbdt_leaf20__k4__single_nearest","pairwise_hist_gbdt_leaf20","hist_gbdt","4","single_nearest","0.43170587160469726","0.19320479007745467","4.6204638865894481"
"pairwise_hist_gbdt_leaf20__k8__single_nearest","pairwise_hist_gbdt_leaf20","hist_gbdt","8","single_nearest","0.43170587160469726","0.19320479007745467","4.6204638865894481"
"pairwise_hist_gbdt_leaf80__k12__single_nearest","pairwise_hist_gbdt_leaf80","hist_gbdt","12","single_nearest","0.43316352197311098","0.18675994930947706","4.642188780688377"
"pairwise_hist_gbdt_leaf80__k16__single_nearest","pairwise_hist_gbdt_leaf80","hist_gbdt","16","single_nearest","0.43316352197311098","0.18675994930947706","4.642188780688377"
"pairwise_hist_gbdt_leaf80__k4__single_nearest","pairwise_hist_gbdt_leaf80","hist_gbdt","4","single_nearest","0.43316352197311098","0.18675994930947706","4.642188780688377"
"pairwise_hist_gbdt_leaf80__k8__single_nearest","pairwise_hist_gbdt_leaf80","hist_gbdt","8","single_nearest","0.43316352197311098","0.18675994930947706","4.642188780688377"
"direct_hist_gbdt_leaf20","direct_hist_gbdt_leaf20","hist_gbdt","0","not_applicable","0.43661101594225704","0.16656344356908925","4.6620082270724899"
"fixed_neighbor_delta__k4__weighted_median","fixed_neighbor_delta","nonlearned_reference_baseline","4","weighted_median","0.46135456463102165","0.18895323858762864","6.028132481051955"
"fixed_neighbor_delta__k8__weighted_mean","fixed_neighbor_delta","nonlearned_reference_baseline","8","weighted_mean","0.47098559815908003","0.20403834038878857","6.3147650913625393"
"fixed_neighbor_delta__k8__weighted_median","fixed_neighbor_delta","nonlearned_reference_baseline","8","weighted_median","0.47848117398395423","0.19190372286509133","6.3782972047731619"
"fixed_neighbor_delta__k12__weighted_mean","fixed_neighbor_delta","nonlearned_reference_baseline","12","weighted_mean","0.48856481591989021","0.19701604611383955","6.2047867788304387"
"fixed_neighbor_delta__k4__weighted_mean","fixed_neighbor_delta","nonlearned_reference_baseline","4","weighted_mean","0.49159760912783756","0.20977671735656886","6.0543519847358507"
"fixed_neighbor_delta__k12__weighted_median","fixed_neighbor_delta","nonlearned_reference_baseline","12","weighted_median","0.49950833734236566","0.19471692614436253","6.3783820744149704"
"fixed_neighbor_delta__k16__weighted_mean","fixed_neighbor_delta","nonlearned_reference_baseline","16","weighted_mean","0.50500492055059731","0.20253237453685224","6.2277436430258861"
"fixed_neighbor_delta__k16__weighted_median","fixed_neighbor_delta","nonlearned_reference_baseline","16","weighted_median","0.50541456750040326","0.18474031328569507","6.3805267240163177"
"direct_pcr95","direct_pcr95","pcr","0","not_applicable","0.52985208783627646","0.26764489964304516","4.6968334885275365"
"direct_ridge_a100","direct_ridge_a100","ridge","0","not_applicable","0.55154011846053408","0.28353452285015934","4.7639165865780759"
"pairwise_huber_fast__k12__weighted_median","pairwise_huber_fast","huber","12","weighted_median","0.58285554952518581","0.31426941146219955","4.9054714216539876"
"pairwise_huber_fast__k16__weighted_median","pairwise_huber_fast","huber","16","weighted_median","0.58464121993798868","0.31434124878418257","4.9214645887497328"
"pairwise_huber_fast__k8__weighted_median","pairwise_huber_fast","huber","8","weighted_median","0.58616531083196044","0.31356672780949602","4.9035613845499668"
"direct_pls6","direct_pls6","pls","0","not_applicable","0.58622381190486861","0.32321188913761906","4.9613469606427172"
"pairwise_huber_fast__k16__weighted_mean","pairwise_huber_fast","huber","16","weighted_mean","0.58645813122525903","0.32816440927879847","4.9784984452496559"
"pairwise_huber_fast__k12__weighted_mean","pairwise_huber_fast","huber","12","weighted_mean","0.58821789519088241","0.34005898458852801","4.912039265026058"
"pairwise_huber_fast__k4__weighted_median","pairwise_huber_fast","huber","4","weighted_median","0.5901404318052248","0.31966273140962675","4.9444768324692143"
"pairwise_huber_fast__k8__weighted_mean","pairwise_huber_fast","huber","8","weighted_mean","0.59045501113231302","0.31883995558892542","4.9683722909705663"
"pairwise_ridge_a10__k12__weighted_median","pairwise_ridge_a10","ridge","12","weighted_median","0.59671023682776214","0.32295843971690297","4.7013029964397663"
"pairwise_ridge_a10__k12__weighted_mean","pairwise_ridge_a10","ridge","12","weighted_mean","0.59745654381733948","0.33661500693027335","4.7815992073099052"
"pairwise_ridge_a10__k16__weighted_median","pairwise_ridge_a10","ridge","16","weighted_median","0.59816300195684646","0.31630715685924959","4.8014395474841471"
"pairwise_ridge_a10__k8__weighted_mean","pairwise_ridge_a10","ridge","8","weighted_mean","0.59897540856080622","0.32362358578624928","4.8145357351533207"
