cell_id,previous_prefix_cycle,current_prefix_cycle,candidate_id,candidate_family,history_row_count,future_row_count,base_trajectory_mae_pp,updated_trajectory_mae_pp,delta_mae_pp,mean_absolute_correction_pp,maximum_absolute_correction_pp,selected_candidate_id,selection_fit_cell_count
MATR_B1C1,20,40,offset_median_all_a0p25,robust_offset,20,260,0.054112707891970153,0.037485468324550852,-0.016627239567419301,0.033458111060976847,0.033458111060976847,offset_median_all_a0p25,40
MATR_B1C11,20,40,offset_median_all_a0p25,robust_offset,20,260,0.023925809845938336,0.02045801325700777,-0.0034677965889305662,0.0081720327104495283,0.0081720327104495283,offset_median_all_a0p25,40
MATR_B1C15,20,40,offset_median_all_a0p25,robust_offset,20,260,0.046576300973382535,0.042149036992140274,-0.0044272639812422618,0.008778984198107409,0.008778984198107409,offset_median_all_a0p25,40
MATR_B1C17,20,40,offset_median_all_a0p25,robust_offset,20,260,0.061634811446641069,0.060547011431354256,-0.0010878000152868134,0.0035586385203991711,0.0035586385203991711,offset_median_all_a0p25,40
MATR_B1C19,20,40,offset_median_all_a0p25,robust_offset,20,260,0.1632143929298982,0.16328986022311948,7.5467293221276321e-05,0.00010219529290367291,0.00010219529290367291,offset_median_all_a0p25,40
MATR_B1C21,20,40,offset_median_all_a0p25,robust_offset,20,260,0.7813178443782981,0.79954741908248284,0.018229574704184737,0.018594912432707389,0.018594912432707389,offset_median_all_a0p25,40
MATR_B1C24,20,40,offset_median_all_a0p25,robust_offset,20,260,0.15115222009104687,0.15270228716606968,0.0015500670750228096,0.0016116509032730875,0.0016116509032730875,offset_median_all_a0p25,40
MATR_B1C26,20,40,offset_median_all_a0p25,robust_offset,20,260,0.037496072690160309,0.03729297705055195,-0.00020309563960835969,0.00042719020707693289,0.00042719020707693289,offset_median_all_a0p25,40
MATR_B1C28,20,40,offset_median_all_a0p25,robust_offset,20,260,0.13012792097045658,0.12798426533623905,-0.0021436556342175339,0.0021942931688858636,0.0021942931688858636,offset_median_all_a0p25,40
MATR_B1C3,20,40,offset_median_all_a0p25,robust_offset,20,260,0.068842839939948205,0.052830961708561941,-0.016011878231386265,0.016180927283720337,0.016180927283720337,offset_median_all_a0p25,40
MATR_B1C30,20,40,offset_median_all_a0p25,robust_offset,20,260,0.0230918077703029,0.022753468174715318,-0.00033833959558758273,0.0017577841453224607,0.0017577841453224607,offset_median_all_a0p25,40
MATR_B1C32,20,40,offset_median_all_a0p25,robust_offset,20,260,0.013889397497037837,0.014146726225806323,0.00025732872876848591,0.0013856714909152856,0.0013856714909152856,offset_median_all_a0p25,40
MATR_B1C34,20,40,offset_median_all_a0p25,robust_offset,20,260,0.1221616770839616,0.12103672075036491,-0.0011249563335966883,0.0013095527959716691,0.0013095527959716691,offset_median_all_a0p25,40
MATR_B1C36,20,40,offset_median_all_a0p25,robust_offset,20,260,0.022724628881940299,0.022702095732152552,-2.253314978774637e-05,8.8766953714625174e-05,8.8766953714625174e-05,offset_median_all_a0p25,40
MATR_B1C38,20,40,offset_median_all_a0p25,robust_offset,20,260,0.090380813098921653,0.08972244892318354,-0.00065836417573811312,0.00083094507617786917,0.00083094507617786917,offset_median_all_a0p25,40
MATR_B1C40,20,40,offset_median_all_a0p25,robust_offset,20,260,0.037844062667159103,0.03932279953288019,0.0014787368657210864,0.0045922890868563826,0.0045922890868563826,offset_median_all_a0p25,40
MATR_B1C42,20,40,offset_median_all_a0p25,robust_offset,20,260,0.036461434999464727,0.036436911133776728,-2.4523865687998969e-05,0.00045544321992530001,0.00045544321992530001,offset_median_all_a0p25,40
MATR_B1C44,20,40,offset_median_all_a0p25,robust_offset,20,260,0.30678699357773653,0.31297646950408453,0.0061894759263479981,0.0072787934806974874,0.0072787934806974874,offset_median_all_a0p25,40
MATR_B1C5,20,40,offset_median_all_a0p25,robust_offset,20,260,0.070616235078299144,0.073074378506718704,0.0024581434284195597,0.0026629887141265129,0.0026629887141265129,offset_median_all_a0p25,40
MATR_B1C7,20,40,offset_median_all_a0p25,robust_offset,20,260,0.025319013214136387,0.022743905958303782,-0.0025751072558326052,0.017053927562258764,0.017053927562258764,offset_median_all_a0p25,40
MATR_B2C0,20,40,offset_median_all_a0p25,robust_offset,20,260,4.3656367308626383,4.3541642899655031,-0.011472440897135172,0.012968846231547815,0.012968846231547815,offset_median_all_a0p25,40
MATR_B2C11,20,40,offset_median_all_a0p25,robust_offset,20,260,0.21402706285380257,0.21190336103545698,-0.0021237018183455914,0.0083918665462316966,0.0083918665462316966,offset_median_all_a0p25,40
MATR_B2C13,20,40,offset_median_all_a0p25,robust_offset,20,260,0.21702834990084788,0.21701324243484979,-1.5107465998087655e-05,0.0052459825860111664,0.0052459825860111664,offset_median_all_a0p25,40
MATR_B2C17,20,40,offset_median_all_a0p25,robust_offset,20,260,0.21095829440674593,0.2876484391466898,0.076690144739943872,0.081586015988442284,0.081586015988442284,offset_median_all_a0p25,40
MATR_B2C19,20,40,offset_median_all_a0p25,robust_offset,20,260,1.6561152402253398,1.6549525859053482,-0.0011626543199916295,0.0011716671441739379,0.0011716671441739379,offset_median_all_a0p25,40
MATR_B2C2,20,40,offset_median_all_a0p25,robust_offset,20,260,0.38809419418078606,0.3937466086703289,0.0056524144895428452,0.0058380017669126261,0.0058380017669126261,offset_median_all_a0p25,40
MATR_B2C21,20,40,offset_median_all_a0p25,robust_offset,20,260,0.065994996701829442,0.056897336587077192,-0.0090976601147522498,0.017980908134656914,0.017980908134656914,offset_median_all_a0p25,40
MATR_B2C23,20,40,offset_median_all_a0p25,robust_offset,20,260,0.80502167128116842,0.78905818798965499,-0.015963483291513425,0.016087231224011234,0.016087231224011234,offset_median_all_a0p25,40
MATR_B2C25,20,40,offset_median_all_a0p25,robust_offset,20,260,0.5091624182711878,0.48644157458995585,-0.02272084368123195,0.022896974252407887,0.022896974252407887,offset_median_all_a0p25,40
MATR_B2C27,20,40,offset_median_all_a0p25,robust_offset,20,260,0.43142363536572642,0.43023273817376606,-0.0011908971919603606,0.0012095049605829189,0.0012095049605829189,offset_median_all_a0p25,40
MATR_B2C29,20,40,offset_median_all_a0p25,robust_offset,20,260,0.36395523521226347,0.34868807974259131,-0.015267155469672167,0.016029881748655939,0.016029881748655939,offset_median_all_a0p25,40
MATR_B2C31,20,40,offset_median_all_a0p25,robust_offset,20,260,0.046996313515771743,0.045152516845711248,-0.0018437966700604949,0.0024451309161026558,0.0024451309161026558,offset_median_all_a0p25,40
MATR_B2C33,20,40,offset_median_all_a0p25,robust_offset,20,260,0.60951557107458387,0.6072359634914789,-0.00227960758310497,0.0023202309167356105,0.0023202309167356105,offset_median_all_a0p25,40
MATR_B2C35,20,40,offset_median_all_a0p25,robust_offset,20,260,0.14573156670469486,0.1431849381304621,-0.0025466285742327677,0.0027284293034650631,0.0027284293034650631,offset_median_all_a0p25,40
MATR_B2C37,20,40,offset_median_all_a0p25,robust_offset,20,260,0.35194107684858483,0.35170913598000186,-0.00023194086858296936,0.00023930407076377946,0.00023930407076377946,offset_median_all_a0p25,40
MATR_B2C39,20,40,offset_median_all_a0p25,robust_offset,20,260,0.053962899749796324,0.046577356327705606,-0.0073855434220907179,0.0091048503572093153,0.0091048503572093153,offset_median_all_a0p25,40
MATR_B2C4,20,40,offset_median_all_a0p25,robust_offset,20,260,0.34542316655869471,0.34872166895108336,0.0032985023923886581,0.0053142987353922422,0.0053142987353922422,offset_median_all_a0p25,40
MATR_B2C41,20,40,offset_median_all_a0p25,robust_offset,20,260,0.38268922618343776,0.3966950694766872,0.014005843293249443,0.01435143707550246,0.01435143707550246,offset_median_all_a0p25,40
