cell_id,previous_prefix_cycle,current_prefix_cycle,candidate_id,candidate_family,history_row_count,future_row_count,base_trajectory_mae_pp,updated_trajectory_mae_pp,delta_mae_pp,mean_absolute_correction_pp,maximum_absolute_correction_pp
MATR_B1C0,20,40,offset_median_all_a0p25,robust_offset,20,260,0.29759943120664106,0.36808741539672257,0.07048798419008151,0.087571872297015574,0.087571872297015574
MATR_B1C14,20,40,offset_median_all_a0p25,robust_offset,20,260,0.03485244985879736,0.034612125696291358,-0.0002403241625060018,0.0057422414863808058,0.0057422414863808058
MATR_B1C16,20,40,offset_median_all_a0p25,robust_offset,20,260,0.060344688146178965,0.048873403239589282,-0.011471284906589684,0.013723109625340513,0.013723109625340513
MATR_B1C2,20,40,offset_median_all_a0p25,robust_offset,20,260,0.053386783167094186,0.052133473022684354,-0.0012533101444098318,0.0015327246426117824,0.0015327246426117824
MATR_B1C20,20,40,offset_median_all_a0p25,robust_offset,20,260,0.74648436931715212,0.7450208923142404,-0.0014634770029117172,0.00153487548734077,0.00153487548734077
MATR_B1C23,20,40,offset_median_all_a0p25,robust_offset,20,260,0.11337013688894435,0.11468886525693017,0.0013187283679858275,0.0017125886711273353,0.0017125886711273353
MATR_B1C25,20,40,offset_median_all_a0p25,robust_offset,20,260,0.077619435378765797,0.078889215614274102,0.0012697802355083054,0.0014543098061601256,0.0014543098061601256
MATR_B1C27,20,40,offset_median_all_a0p25,robust_offset,20,260,0.02193561980478374,0.022936801638121496,0.0010011818333377567,0.0023752761644217912,0.0023752761644217912
MATR_B1C29,20,40,offset_median_all_a0p25,robust_offset,20,260,0.02507015436060266,0.023325941127284065,-0.001744213233318595,0.0035328096051756575,0.0035328096051756575
MATR_B1C31,20,40,offset_median_all_a0p25,robust_offset,20,260,0.54753877746236235,0.5526140299469392,0.0050752524845768532,0.0053152747879696705,0.0053152747879696705
MATR_B1C33,20,40,offset_median_all_a0p25,robust_offset,20,260,0.049971297158315657,0.053201074696196185,0.003229777537880528,0.0064973605499787368,0.0064973605499787368
MATR_B1C35,20,40,offset_median_all_a0p25,robust_offset,20,260,0.044888836857313937,0.040548893500213921,-0.0043399433571000151,0.005271322784205168,0.005271322784205168
MATR_B1C37,20,40,offset_median_all_a0p25,robust_offset,20,260,0.075350676994090773,0.076316755731657734,0.00096607873756696105,0.001641567887194384,0.001641567887194384
