previous_prefix_cycle,current_prefix_cycle,candidate_id,candidate_family,physical_cell_count,mean_base_trajectory_mae_pp,mean_updated_trajectory_mae_pp,mean_delta_mae_pp,fraction_cells_improved,p90_cell_delta_mae_pp,eligible
20,40,offset_last_residual_a0p25,robust_offset,41,0.35218217163047016,0.35092112448483026,-0.0012610471456399603,0.53658536585365857,0.012281627971505865,False
20,40,offset_median_last_10_a0p25,robust_offset,41,0.35218217163047016,0.35092422152329383,-0.0012579501071763608,0.63414634146341464,0.0050431810457968185,False
20,40,offset_median_last_5_a0p25,robust_offset,41,0.35218217163047016,0.35096944740225638,-0.001212724228213788,0.51219512195121952,0.0056758835052354017,False
20,40,offset_median_all_a0p25,robust_offset,41,0.35218217163047016,0.35100871615917495,-0.0011734554712952174,0.70731707317073167,0.0056524144895428452,True
20,40,offset_median_all_a0p5,robust_offset,41,0.35218217163047016,0.35111068012069535,-0.0010714915097748677,0.65853658536585369,0.011330589874768981,False
20,40,offset_median_last_10_a0p5,robust_offset,41,0.35218217163047016,0.35169780246244498,-0.00048436916802515587,0.6097560975609756,0.010371299270259204,False
20,40,no_update,no_update,41,0.35218217163047016,0.35218217163047016,0,0,0,False
20,40,offset_median_last_5_a0p5,robust_offset,41,0.35218217163047016,0.35224650316025041,6.4331529780262131e-05,0.46341463414634149,0.012802515682450888,False
20,40,offset_median_all_a0p75,robust_offset,41,0.35218217163047016,0.35258867157334894,0.00040649994287873635,0.63414634146341464,0.017033868523988804,False
20,40,offset_last_residual_a0p5,robust_offset,41,0.35218217163047016,0.35291797844088257,0.00073580681041239581,0.48780487804878048,0.026722145226801608,False
20,40,offset_median_last_10_a0p75,robust_offset,41,0.35218217163047016,0.35422532180862609,0.0020431501781558617,0.56097560975609762,0.036097711085917195,False
20,40,gp_matern32_l0p1,fixed_gaussian_process,41,0.35218217163047016,0.35482503530059972,0.0026428636701295674,0.3902439024390244,0.0070562889056551836,False
20,40,offset_median_all_a1p0,robust_offset,41,0.35218217163047016,0.35494968190576526,0.0027675102752951052,0.6097560975609756,0.027283478855752219,False
20,40,offset_median_last_5_a0p75,robust_offset,41,0.35218217163047016,0.35530105190385991,0.0031188802733897337,0.46341463414634149,0.040739653444719193,False
20,40,offset_last_residual_a0p75,robust_offset,41,0.35218217163047016,0.35679076493719669,0.0046085933067264986,0.46341463414634149,0.04386278926611642,False
20,40,gp_matern32_l0p2,fixed_gaussian_process,41,0.35218217163047016,0.35688095458479729,0.0046987829543271159,0.41463414634146339,0.019272447998398112,False
20,40,offset_median_last_10_a1p0,robust_offset,41,0.35218217163047016,0.35760483010105409,0.0054226584705839255,0.53658536585365857,0.04874084647024024,False
20,40,offset_median_last_5_a1p0,robust_offset,41,0.35218217163047016,0.35932712379142628,0.0071449521609560978,0.41463414634146339,0.05493010294863343,False
20,40,offset_last_residual_a1p0,robust_offset,41,0.35218217163047016,0.36161879106579958,0.0094366194353294394,0.41463414634146339,0.059094284043839207,False
20,40,gp_matern32_l0p4,fixed_gaussian_process,41,0.35218217163047016,0.36212579271401951,0.009943621083549339,0.43902439024390244,0.058645398174508256,False
