paper_split,cell_id,prefix_cycle,gate_triggered,trajectory_mae_pp,empirical_coverage,mean_interval_width_pp,weighted_interval_score
primary_test,MATR_B1C0,20,True,0.94574835695866533,1,9.9753610713802061,0.64776148803222866
primary_test,MATR_B1C0,40,False,0.29759943120664106,0.98076923076923073,1.70083508400516,0.15657334616472252
primary_test,MATR_B1C0,60,False,0.63167504879305503,0.21249999999999999,1.0340038302882357,0.37707004600958344
primary_test,MATR_B1C0,100,False,0.401509406288235,0.48999999999999999,0.72734716600058502,0.23712039339423815
primary_test,MATR_B1C14,20,False,0.061792077341717801,1,1.4034076306605567,0.067377613469257816
primary_test,MATR_B1C14,40,False,0.03485244985879736,1,0.75799886866574029,0.036884112241790445
primary_test,MATR_B1C14,60,False,0.073709568629562655,0.99583333333333335,0.3563935545009419,0.036461929611099224
primary_test,MATR_B1C14,100,False,0.013499194102152643,1,0.23942600186311636,0.012480598096154759
primary_test,MATR_B1C16,20,False,0.43816696268518857,0.99285714285714288,1.5296329365380923,0.19715334039178145
primary_test,MATR_B1C16,40,False,0.060344688146178965,0.99230769230769234,1.0119274264741505,0.054087634131642408
primary_test,MATR_B1C16,60,False,0.059260080103689522,0.98333333333333328,0.76933666148117341,0.045710948423253739
primary_test,MATR_B1C16,100,False,0.063039958919927988,0.995,0.32537277767692402,0.031878252225443285
primary_test,MATR_B1C2,20,False,0.12884635445907752,1,1.3314772182225945,0.087331358760445663
primary_test,MATR_B1C2,40,False,0.053386783167094186,1,0.78613187038003163,0.043999990068365774
primary_test,MATR_B1C2,60,False,0.032929474379738956,1,0.92614126614887649,0.04184786699820886
primary_test,MATR_B1C2,100,False,0.013978672235441962,1,0.36377947516917658,0.016785539917453206
primary_test,MATR_B1C20,20,False,0.56016177866859396,1,6.7448302723717184,0.41154826863525518
primary_test,MATR_B1C20,40,False,0.74648436931715212,1,6.0685026638004169,0.45111154523239794
primary_test,MATR_B1C20,60,False,0.49936652899983996,1,5.8554107715670645,0.36163586871884873
primary_test,MATR_B1C20,100,False,0.32678567127293995,1,6.2494199648024065,0.31724255591772682
primary_test,MATR_B1C23,20,False,0.069171121452677245,0.98928571428571432,0.35387867474140355,0.035251478585885392
primary_test,MATR_B1C23,40,False,0.11337013688894435,0.95769230769230773,0.35473242971066204,0.049937082438259867
primary_test,MATR_B1C23,60,False,0.15069514652461979,0.29166666666666669,0.26038502896356697,0.080001907893702526
primary_test,MATR_B1C23,100,False,0.01612140436139441,1,0.56572135899725362,0.024231180087039918
primary_test,MATR_B1C25,20,False,0.13445088722945323,0.99642857142857144,1.0922247121835837,0.081368487298527706
primary_test,MATR_B1C25,40,False,0.077619435378765797,1,0.55453874721806506,0.044357770033524091
primary_test,MATR_B1C25,60,False,0.037649387036261514,0.99583333333333335,0.2756315075013035,0.021792762408905441
primary_test,MATR_B1C25,100,False,0.071455542308435802,0.95499999999999996,0.30520111378239123,0.034195028517607716
primary_test,MATR_B1C27,20,False,0.043604203093167065,0.99285714285714288,0.18464653849716187,0.020721794378600663
primary_test,MATR_B1C27,40,False,0.02193561980478374,0.98076923076923073,0.27347695081312728,0.016632905199111567
primary_test,MATR_B1C27,60,False,0.04066599375808598,0.99583333333333335,0.25953787665597911,0.022215606594130594
primary_test,MATR_B1C27,100,False,0.04123104777268452,0.98499999999999999,0.22231097570728026,0.021311360160012675
primary_test,MATR_B1C29,20,False,0.016306252788577575,1,0.25699777705052257,0.014002010164543275
primary_test,MATR_B1C29,40,False,0.02507015436060266,1,0.27486422323984244,0.017518858894862297
primary_test,MATR_B1C29,60,False,0.015174656269953957,1,0.1880384442784962,0.011326166899267857
primary_test,MATR_B1C29,100,False,0.04029715542762375,0.83999999999999997,0.15565641026864852,0.019660586896533251
primary_test,MATR_B1C31,20,False,0.0653634953929704,0.96785714285714286,0.33557468078074165,0.034260194728372134
primary_test,MATR_B1C31,40,False,0.54753877746236235,1,2.7311697482595623,0.27355191742943952
primary_test,MATR_B1C31,60,False,0.11754396254441689,0.9916666666666667,0.70249525079078112,0.062806768701676494
primary_test,MATR_B1C31,100,False,0.030562773161731796,0.94499999999999995,0.20499739029908581,0.019020086525964174
primary_test,MATR_B1C33,20,False,0.097168445012297155,0.58571428571428574,0.2507568279860703,0.051447836915482603
primary_test,MATR_B1C33,40,False,0.049971297158315657,0.99615384615384617,0.79587378497794692,0.043225875677708331
primary_test,MATR_B1C33,60,False,0.023326813876445071,0.99583333333333335,0.39961969774228429,0.021199776821198592
primary_test,MATR_B1C33,100,False,0.042220812217551112,0.995,0.46881018158394072,0.029742320472230153
primary_test,MATR_B1C35,20,False,0.056010532852345307,0.99642857142857144,0.35436713280612803,0.030485891980081663
primary_test,MATR_B1C35,40,False,0.044888836857313937,0.9884615384615385,0.65182758969013921,0.036769429692128486
primary_test,MATR_B1C35,60,False,0.044421780304327523,0.9916666666666667,0.30337114380472807,0.025247283406978904
primary_test,MATR_B1C35,100,False,0.056710535100577032,0.995,0.65592075584952636,0.040952056177562222
primary_test,MATR_B1C37,20,False,0.088708496266275708,0.79642857142857137,0.23226182217016172,0.042884043711117203
primary_test,MATR_B1C37,40,False,0.075350676994090773,0.72307692307692306,0.19342312332511835,0.039569271300079818
primary_test,MATR_B1C37,60,False,0.11459933289195584,0.42083333333333334,0.2203347694090006,0.062291002955578163
primary_test,MATR_B1C37,100,False,0.11537746637036569,0.27500000000000002,0.16083594564580495,0.076620252945774542
primary_test,MATR_B1C39,20,False,0.035302238278954991,1,0.30697457175272325,0.021999898484742434
primary_test,MATR_B1C39,40,False,0.051871288470514212,0.99615384615384617,0.3242829872054746,0.028119192384287152
primary_test,MATR_B1C39,60,False,0.018698716499022616,1,0.2417354122440564,0.014290752574476085
primary_test,MATR_B1C39,100,False,0.043757279729208134,0.93000000000000005,0.14772232810609182,0.019789918573887785
primary_test,MATR_B1C4,20,False,0.076886654179760081,1,1.6012335510416513,0.079003336427975066
primary_test,MATR_B1C4,40,False,0.051966589044992489,1,1.1489977776313849,0.055622122269376982
primary_test,MATR_B1C4,60,False,0.028655694359161821,1,0.90800972884972575,0.03981888908137813
primary_test,MATR_B1C4,100,False,0.043482107159113853,1,0.60483339891056997,0.034655149016723612
primary_test,MATR_B1C41,20,False,0.020923525604935531,1,0.56392978419794748,0.025772168008243425
primary_test,MATR_B1C41,40,False,0.018180669931304131,1,0.38360426695305244,0.018847032208869789
primary_test,MATR_B1C41,60,False,0.028994398866836354,1,0.23396263623417798,0.017463554163418049
primary_test,MATR_B1C41,100,False,0.034383644768789662,0.995,0.26109702269311186,0.020174738561333623
primary_test,MATR_B1C43,20,False,0.17971286020888444,0.42142857142857143,0.36221995820079522,0.089580601719412942
primary_test,MATR_B1C43,40,False,0.023551452666728232,1,0.62312100245275204,0.028621184304001138
primary_test,MATR_B1C43,60,False,0.053866709632632313,1,0.35608760316541699,0.029825156649724668
primary_test,MATR_B1C43,100,False,0.087476422060433379,0.42999999999999999,0.17678402826871634,0.045193639012664787
primary_test,MATR_B1C45,20,False,0.049419192044144619,1,0.38039956084299137,0.029153049376147915
primary_test,MATR_B1C45,40,False,0.071284529695653409,0.99615384615384617,0.38479438365593677,0.036599244027063167
primary_test,MATR_B1C45,60,False,0.11444089061335276,0.65000000000000002,0.27508188463148536,0.05293473900034007
primary_test,MATR_B1C45,100,False,0.02875839604309597,1,0.26891251257674598,0.018549882433590188
primary_test,MATR_B1C6,20,False,0.092162907176495168,1,3.0649711760756264,0.13288667492801928
primary_test,MATR_B1C6,40,False,0.21049924867745187,1,0.88930263246074048,0.099809837307841959
primary_test,MATR_B1C6,60,False,0.12242487621886683,1,0.77680237483032255,0.06670170456729968
primary_test,MATR_B1C6,100,False,0.034288994251424967,1,1.2086839384351855,0.051719129364981152
primary_test,MATR_B1C9,20,False,0.32698148519458847,1,3.0275519006115834,0.20991222508524895
primary_test,MATR_B1C9,40,False,0.15649506053680612,1,1.6734607902705676,0.10794704652128762
primary_test,MATR_B1C9,60,False,0.21090554601081302,1,1.6220618955042052,0.12437057852041115
primary_test,MATR_B1C9,100,False,0.1778527759834872,1,1.2346973411952105,0.10044083670100275
primary_test,MATR_B2C10,20,False,0.48265817630474206,0.72142857142857142,1.6554916132153434,0.25255733548485398
primary_test,MATR_B2C10,40,False,0.1589997038398967,0.99615384615384617,2.4007704769792366,0.16200296020423066
primary_test,MATR_B2C10,60,False,0.12431619777501043,0.99583333333333335,2.2369481238336113,0.1464663756346157
primary_test,MATR_B2C10,100,False,0.29830364334734399,0.995,1.5686262931300572,0.18986665285033111
primary_test,MATR_B2C12,20,False,0.44945045006841466,0.99642857142857144,5.6970462392073502,0.4317710440098641
primary_test,MATR_B2C12,40,False,0.53141324629220654,0.99615384615384617,3.2953555141770483,0.39193707575089209
primary_test,MATR_B2C12,60,False,0.33524310240046601,0.99583333333333335,2.4696377676970798,0.31150662724368383
primary_test,MATR_B2C12,100,False,0.44621912137995379,0.995,2.6803490426203678,0.37852468232893505
primary_test,MATR_B2C14,20,False,0.21738109114061907,1,1.3230529043878285,0.11656212719313394
primary_test,MATR_B2C14,40,False,0.083809735283776984,0.99615384615384617,1.0097233001245722,0.061608943853115779
primary_test,MATR_B2C14,60,False,0.032732226941937684,0.99583333333333335,0.79961727399168159,0.037693666079217057
primary_test,MATR_B2C14,100,False,0.1682770973078079,0.995,1.0922221067025617,0.092504438096459682
primary_test,MATR_B2C18,20,False,0.52960163654641912,0.96785714285714286,2.4242134181864383,0.25807759858524121
primary_test,MATR_B2C18,40,False,0.18369633861266391,0.99615384615384617,2.6733392803665539,0.15038704480116466
primary_test,MATR_B2C18,60,False,0.12597831443639246,0.99583333333333335,1.3355095643831485,0.086524060237963787
primary_test,MATR_B2C18,100,False,0.0816582115064277,1,1.270325544200676,0.069563588642165095
primary_test,MATR_B2C20,20,False,0.60737280630544765,0.99642857142857144,4.4940391549190188,0.36737753697997244
primary_test,MATR_B2C20,40,False,0.15089396474815184,0.92692307692307696,1.2521330336827041,0.11466871738917914
primary_test,MATR_B2C20,60,False,0.087463457411426054,0.98750000000000004,0.94033770246751769,0.084670082190685225
primary_test,MATR_B2C20,100,False,0.14825067527441518,0.83999999999999997,0.51285637732176059,0.10015099923629898
primary_test,MATR_B2C22,20,False,0.14736551267858425,1,1.6852071913280231,0.10529541060379551
primary_test,MATR_B2C22,40,False,0.088587497934417753,1,0.80721644442061791,0.056436380792159846
primary_test,MATR_B2C22,60,False,0.16871976339711955,0.99583333333333335,0.84693964933321098,0.088940143877695957
primary_test,MATR_B2C22,100,False,0.12734202113210585,0.995,1.0430915451323961,0.092411795507330668
primary_test,MATR_B2C24,20,False,0.18787855200293357,0.98571428571428577,1.5131027550288687,0.1132278579592938
primary_test,MATR_B2C24,40,False,0.054829308417408004,0.96923076923076923,1.3013482342915412,0.062010866604279506
primary_test,MATR_B2C24,60,False,0.2243152997208829,0.99583333333333335,1.1506187046382279,0.11318169566043991
primary_test,MATR_B2C24,100,False,0.087085736907368483,0.98499999999999999,0.88748694779113024,0.058656061206796839
primary_test,MATR_B2C26,20,False,0.1918476642618997,1,2.1779727362419052,0.13654831262869674
primary_test,MATR_B2C26,40,False,0.28613145498054793,1,2.1645627497629385,0.16752924331894725
primary_test,MATR_B2C26,60,False,0.064352378323835308,1,1.9588547839460053,0.086745952239478605
primary_test,MATR_B2C26,100,False,0.049792786366828282,0.97999999999999998,1.3305120360319307,0.061078790581234881
primary_test,MATR_B2C28,20,False,0.51067694761989968,0.9642857142857143,1.5723776957813496,0.225259941277309
primary_test,MATR_B2C28,40,False,0.58899081065455339,0.23846153846153847,1.0784350459261904,0.30864409557268291
primary_test,MATR_B2C28,60,False,0.50283698438909596,0.71250000000000002,1.1534475823576993,0.22838724348760492
primary_test,MATR_B2C28,100,False,0.43393683530868793,0.87,1.9332074269840367,0.23353245952683557
primary_test,MATR_B2C3,20,False,2.3908422635417521,1,8.5927080461762912,1.0833710227197937
primary_test,MATR_B2C3,40,False,2.2819383180416737,0.80384615384615388,5.4674516280256569,1.0279987489081261
primary_test,MATR_B2C3,60,False,1.7763025382115762,0.77500000000000002,4.3808934818749288,0.82109776169244386
primary_test,MATR_B2C3,100,False,1.4619726766472967,1,8.2039407649236704,0.7607889177132211
primary_test,MATR_B2C30,20,False,0.089669577341293299,1,2.5117746458894126,0.1136156806434115
primary_test,MATR_B2C30,40,False,0.12352646501481716,0.99615384615384617,0.95881292937966367,0.073261012167404993
primary_test,MATR_B2C30,60,False,0.038047001596136984,0.99583333333333335,0.88574940830041271,0.042354319747338783
primary_test,MATR_B2C30,100,False,0.11430081940326005,0.98999999999999999,0.75014710133196916,0.063227325807822435
primary_test,MATR_B2C32,20,False,0.55546210607291835,0.86785714285714288,1.4531151645967173,0.23833753864178706
primary_test,MATR_B2C32,40,False,0.60779579234836212,0.94615384615384612,2.1926799219175845,0.27679197924984533
primary_test,MATR_B2C32,60,False,0.43679427311519842,0.29166666666666669,0.85708110934737858,0.23477088248661762
primary_test,MATR_B2C32,100,False,0.1246655439851915,0.95999999999999996,0.87562727075710323,0.071996271619288871
primary_test,MATR_B2C34,20,False,0.43390514438474398,0.99642857142857144,6.2635020540785895,0.35342979169488836
primary_test,MATR_B2C34,40,False,0.58855850026924439,0.98461538461538467,2.1630822455655161,0.26852127555048705
primary_test,MATR_B2C34,60,False,0.41820522703663876,0.375,0.963732137947234,0.20268972123480947
primary_test,MATR_B2C34,100,False,0.072770058055613027,0.995,1.4641978628264851,0.073072797494117742
primary_test,MATR_B2C36,20,False,0.32944380754240926,1,4.625489409789215,0.2639975828404435
primary_test,MATR_B2C36,40,False,0.062979022652036379,0.99615384615384617,1.6424445366571083,0.075742673298553595
