paper_split,cell_id,prefix_cycle,model_id,trajectory_mae_pp,trajectory_rmse_pp,endpoint_absolute_error_pp
primary_test,MATR_B1C35,20,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.056010532852345307,0.067698345679040928,0.10750194380956657
primary_test,MATR_B1C35,40,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.044888836857313937,0.051386260907527195,0.003053234186737086
primary_test,MATR_B1C35,60,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.044421780304327523,0.051783050004857271,0.013908571799220226
primary_test,MATR_B1C35,100,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.056710535100577032,0.079079783503100104,0.1997599302056301
primary_test,MATR_B1C37,20,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.088708496266275708,0.12216546824062359,0.29820705640968015
primary_test,MATR_B1C37,40,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.075350676994090773,0.10298604273338674,0.2315199118603033
primary_test,MATR_B1C37,60,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.11459933289195584,0.14866849086773876,0.32131698711739887
primary_test,MATR_B1C37,100,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.11537746637036569,0.14098520518940522,0.27175702296554505
primary_test,MATR_B1C39,20,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.035302238278954991,0.054663166685193706,0.15163611775473385
primary_test,MATR_B1C39,40,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.051871288470514212,0.066115313493786174,0.16391640181511491
primary_test,MATR_B1C39,60,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.018698716499022616,0.023107615071657723,0.047376017588518948
primary_test,MATR_B1C39,100,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.043757279729208134,0.049212060754714883,0.084971741187118255
primary_test,MATR_B1C4,20,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.076886654179760081,0.091969209956263717,0.10917688384795099
primary_test,MATR_B1C4,40,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.051966589044992489,0.063215713894108641,0.16247025095904633
primary_test,MATR_B1C4,60,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.028655694359161821,0.035333474711118418,0.11287620441802915
primary_test,MATR_B1C4,100,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.043482107159113853,0.047909638291976878,0.11518378470756829
primary_test,MATR_B1C41,20,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.020923525604935531,0.028043182173997625,0.049001586968472566
primary_test,MATR_B1C41,40,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.018180669931304131,0.023071717401697497,0.0014438947117270118
primary_test,MATR_B1C41,60,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.028994398866836354,0.042958430844911119,0.10070539452172511
primary_test,MATR_B1C41,100,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.034383644768789662,0.039783839372943455,0.033412464152519306
primary_test,MATR_B1C43,20,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.17971286020888444,0.21089673108911797,0.38765999547580066
primary_test,MATR_B1C43,40,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.023551452666728232,0.030111420579500104,4.8988909313152362e-05
