gate_id,fallback_fraction,mean_trajectory_mae_pp,p90_trajectory_mae_pp,maximum_trajectory_mae_pp
union_q99,0.024390243902439025,0.33423505937469344,0.6843629836301629,4.5187292851798562
dispersion_q95,0.054878048780487805,0.34055810848118057,0.72040547439064306,4.5187292851798562
disagreement_q99,0.012195121951219513,0.34108251036161069,0.6843629836301629,4.5187292851798562
dispersion_q99,0.012195121951219513,0.34127060588895008,0.69917593891867358,4.5187292851798562
distance_q99,0.012195121951219513,0.34755432221910404,0.69917593891867358,4.5187292851798562
disagreement_q95,0.054878048780487805,0.35117596363726783,0.6843629836301629,6.3147650913625357
no_gate,0,0.35440177320602129,0.69917593891867358,4.5187292851798562
union_q95,0.11585365853658537,0.36295994974500118,0.69917593891867358,6.3147650913625357
distance_q95,0.054878048780487805,0.36610260747418732,0.73049741314718608,5.0712889657213331
dispersion_q9,0.10365853658536585,0.3759866233376965,0.76532675983143339,5.3506731307110638
disagreement_q9,0.10365853658536585,0.39302476543924264,0.76532675983143339,6.3147650913625357
distance_q9,0.10365853658536585,0.39583393107644077,0.76639098151362173,6.3147650913625357
union_q9,0.1951219512195122,0.40827216685742834,0.81202739089225406,6.3147650913625357
