target_condition_id,storage_soc_fraction,method,physical_cell_count,trajectory_iae_pp_mean,trajectory_iae_pp_median,trajectory_iae_pp_std,trajectory_signed_bias_pp_mean,final_absolute_error_pp_mean,mechanism_gate_ready_cell_count
GEISBAUER_LFP_T60_SOC20,0.20000000000000001,hierarchical_power_law_prefix_update_v2,5,1.0462554566326063,1.0936228213059067,0.39154910971658408,-0.41703290349879441,0.68197451812496579,0
GEISBAUER_LFP_T60_SOC20,0.20000000000000001,mechanism_gated_hierarchical_activation_offset_hybrid_v1,5,1.0462554566326063,1.0936228213059067,0.39154910971658408,-0.41703290349879441,0.68197451812496579,0
GEISBAUER_LFP_T60_SOC20,0.20000000000000001,target_prefix_only_sqrt_time_v1,5,1.2622168845885795,1.0654632833215061,0.43048812176231149,-0.16763813897595412,0.9795154716600365,0
GEISBAUER_LFP_T60_SOC20,0.20000000000000001,target_prefix_persistence_day59_v1,5,1.9500341558104808,1.9261180500993902,0.4304625143136005,1.9500341558104808,2.763116451847961,0
GEISBAUER_LFP_T60_SOC50,0.5,hierarchical_power_law_prefix_update_v2,5,1.9557667822637157,1.6993252435235107,0.4568929694667756,1.2461063438250435,2.7440324390023223,0
GEISBAUER_LFP_T60_SOC50,0.5,mechanism_gated_hierarchical_activation_offset_hybrid_v1,5,1.9557667822637157,1.6993252435235107,0.4568929694667756,1.2461063438250435,2.7440324390023223,0
GEISBAUER_LFP_T60_SOC50,0.5,target_prefix_only_sqrt_time_v1,5,2.089481614925103,1.702224071350912,0.62880263149874371,1.3970385705373729,2.9420500025226004,0
GEISBAUER_LFP_T60_SOC50,0.5,target_prefix_persistence_day59_v1,5,3.2916336712193242,3.3440110982380133,0.12998184885539607,3.2916336712193242,4.9606125557581375,0
GEISBAUER_LFP_T60_SOC100,1,hierarchical_power_law_prefix_update_v2,5,8.9183295099990723,9.0996134365222971,0.39608732927915807,8.9183295099990723,12.009023738837499,0
GEISBAUER_LFP_T60_SOC100,1,mechanism_gated_hierarchical_activation_offset_hybrid_v1,5,8.9183295099990723,9.0996134365222971,0.39608732927915807,8.9183295099990723,12.009023738837499,0
GEISBAUER_LFP_T60_SOC100,1,target_prefix_only_sqrt_time_v1,5,8.3039454935154478,8.9188969337385799,1.1532875654382484,8.3039454935154478,11.186086304519401,0
GEISBAUER_LFP_T60_SOC100,1,target_prefix_persistence_day59_v1,5,9.8114231907674281,9.7812619004300174,0.11664953437651242,9.8114231907674281,13.125446091246332,0
