cell_id,target_condition_id,source_cell_number,storage_soc_fraction,method,mechanism_gate_ready,activation_component_selected,mean_route,fallback_reason,future_point_count,trajectory_iae_pp,trajectory_signed_bias_pp,point_mae_pp,final_true_retention_pct,final_predicted_retention_pct,final_error_pp,final_absolute_error_pp,prediction_state_sha256
GEISBAUER_LFP_CELL_026,GEISBAUER_LFP_T60_SOC50,26,0.5,target_prefix_persistence_day59_v1,False,False,target_prefix_persistence,not_applicable,2,3.3972958935710409,3.3972958935710409,3.3972958935710409,91.737373962266304,96.900695367818699,5.163321405552395,5.163321405552395,95ceac9caacef8a62a8c6ce82982112e2b1782117187c3765c33cce9e86844c4
GEISBAUER_LFP_CELL_043,GEISBAUER_LFP_T60_SOC100,43,1,hierarchical_power_law_prefix_update_v2,False,False,hierarchical_power,not_applicable,2,8.4585678692360204,8.4585678692360204,8.4585678692360204,80.889204738106969,92.317763791515247,11.428559053408279,11.428559053408279,12147c5a4d8e8052c0b5d75f33f6af752ede712d4d2d54603586ed012ae78337
GEISBAUER_LFP_CELL_043,GEISBAUER_LFP_T60_SOC100,43,1,mechanism_gated_hierarchical_activation_offset_hybrid_v1,False,False,hierarchical_power_fallback,specialist_gate_not_ready,2,8.4585678692360204,8.4585678692360204,8.4585678692360204,80.889204738106969,92.317763791515247,11.428559053408279,11.428559053408279,7005d6ed623ca331e507681bfa1e29d6c193fd252a3697983fd27103364e15db
GEISBAUER_LFP_CELL_043,GEISBAUER_LFP_T60_SOC100,43,1,target_prefix_only_sqrt_time_v1,False,False,target_prefix_sqrt,not_applicable,2,6.996476948995614,6.996476948995614,6.996476948995614,80.889204738106969,90.389062414381115,9.4998576762741465,9.4998576762741465,c204d032e6f22d76452c007259a529d0a61325528b8c898f0f87214a9cdc308b
GEISBAUER_LFP_CELL_043,GEISBAUER_LFP_T60_SOC100,43,1,target_prefix_persistence_day59_v1,False,False,target_prefix_persistence,not_applicable,2,9.7058467776754469,9.7058467776754469,9.7058467776754469,80.889204738106969,93.88335738816977,12.994152650062802,12.994152650062802,6a24e79258493beb705c9b3fef80ea1db1ca5abb0a986f81fc8529c3152d5eef
GEISBAUER_LFP_CELL_044,GEISBAUER_LFP_T60_SOC100,44,1,hierarchical_power_law_prefix_update_v2,False,False,hierarchical_power,not_applicable,2,8.5256604791154942,8.5256604791154942,8.5256604791154942,80.189838666031974,91.701180347003373,11.511341680971398,11.511341680971398,4b65ebb33ef8b72227fb3dd01864d9a706cee28c019daaadff8e36d3ea8e05d0
GEISBAUER_LFP_CELL_044,GEISBAUER_LFP_T60_SOC100,44,1,mechanism_gated_hierarchical_activation_offset_hybrid_v1,False,False,hierarchical_power_fallback,specialist_gate_not_ready,2,8.5256604791154942,8.5256604791154942,8.5256604791154942,80.189838666031974,91.701180347003373,11.511341680971398,11.511341680971398,d9f6428691669f0751c3bdf5b79d334fa167de9c761f37c0e6a42b9dff823f7b
GEISBAUER_LFP_CELL_044,GEISBAUER_LFP_T60_SOC100,44,1,target_prefix_only_sqrt_time_v1,False,False,target_prefix_sqrt,not_applicable,2,7.1330554139960958,7.1330554139960958,7.1330554139960967,80.189838666031974,89.862117288970481,9.6722786229385065,9.6722786229385065,1359913830d5be4af058837f18daaf4d68e36d220e713cd95587f3360f09d01f
GEISBAUER_LFP_CELL_044,GEISBAUER_LFP_T60_SOC100,44,1,target_prefix_persistence_day59_v1,False,False,target_prefix_persistence,not_applicable,2,9.8872113791143477,9.8872113791143477,9.8872113791143477,80.189838666031974,93.44423400059884,13.254395334566865,13.254395334566865,7056e01e9431c7629f8bbae3b3df5e6020f5aa00c612137c68c4219febc2cdd3
GEISBAUER_LFP_CELL_071,GEISBAUER_LFP_T60_SOC20,71,0.20000000000000001,hierarchical_power_law_prefix_update_v2,False,False,hierarchical_power,not_applicable,2,1.0936228213059067,-1.0936228213059067,1.0936228213059067,100.26682524093029,99.969142259186043,-0.29768298174424501,0.29768298174424501,80e128f6fccb953309544af9839673ccd21f501d4572afc808a63f1eb49cc71d
