scope,physical_cell_count,candidate_method,comparator_method,candidate_trajectory_iae_pp_mean,comparator_trajectory_iae_pp_mean,mean_paired_delta_iae_pp,candidate_better_cell_count,candidate_worse_cell_count,candidate_equal_cell_count
all_cells,15,mechanism_gated_hierarchical_activation_offset_hybrid_v1,target_prefix_only_sqrt_time_v1,3.9734505829651314,3.8852146643430436,0.088235918622088211,8,7,0
GEISBAUER_LFP_T60_SOC100,5,mechanism_gated_hierarchical_activation_offset_hybrid_v1,target_prefix_only_sqrt_time_v1,8.9183295099990723,8.3039454935154478,0.61438401648362506,1,4,0
GEISBAUER_LFP_T60_SOC20,5,mechanism_gated_hierarchical_activation_offset_hybrid_v1,target_prefix_only_sqrt_time_v1,1.0462554566326063,1.2622168845885795,-0.21596142795597331,2,3,0
GEISBAUER_LFP_T60_SOC50,5,mechanism_gated_hierarchical_activation_offset_hybrid_v1,target_prefix_only_sqrt_time_v1,1.9557667822637157,2.089481614925103,-0.13371483266138712,5,0,0
