cell_id,previous_prefix_cycle,current_prefix_cycle,selected_gate_id,selection_fit_cell_count,activated,base_trajectory_mae_pp,updated_trajectory_mae_pp,raw_delta_mae_pp,gated_delta_mae_pp,matched_naive_history_slope_delta_mae_pp,history_theil_slope_pp_per_cycle,reissue_shift_theil_slope_pp_per_cycle,bounded_unassimilated_slope_pp_per_cycle,projected_unassimilated_change_pp,absolute_history_spearman,history_slope_sign_agreement,unassimilated_history_slope_sign_agreement
MATR_B1C1,20,40,a0p1_d0p02_r0p5,40,True,0.054112707891970153,0.060583836204976871,0.0064711283130067174,0.0064711283130067174,0.049118832022161198,-0.01067206628453595,-0.0046455263297909642,-0.0060265399547449854,0.12053079909489971,0.99398496240601497,True,True
MATR_B1C11,20,40,a0p1_d0p01_r0p5,40,False,0.023925809845938336,0.023925809845938336,0.010298339123543724,0,0,-0.00080607175827592426,0.0027466842440952884,-0.0035527560023712124,0.071055120047424244,0.29774436090225564,False,True
MATR_B1C15,20,40,a0p1_d0p01_r0p5,40,True,0.046576300973382535,0.044405667025807435,-0.0021706339475750999,-0.0021706339475750999,-0.0023460753764310352,0.0033449030738488101,0.0025389132348359504,0.00080598983901285963,0.016119796780257191,0.96090225563909759,True,True
MATR_B1C17,20,40,a0p1_d0p01_r0p5,40,False,0.061634811446641069,0.061634811446641069,0.00073768978215500713,0,0,0.0013355512646739953,0.00095831575304211982,0.0003772355116318755,0.0075447102326375096,0.5473684210526315,True,True
MATR_B1C19,20,40,a0p1_d0p01_r0p5,40,False,0.1632143929298982,0.1632143929298982,-0.0085107698669784348,0,0,-0.00049076979806154475,0.00020898564151912322,-0.00069975543958066791,0.013995108791613357,0.31879699248120297,False,True
MATR_B1C21,20,40,a0p1_d0p01_r0p5,40,True,0.7813178443782981,0.74822930910864816,-0.033088535269649944,-0.033088535269649944,-0.041861604461674085,-0.003215905423736053,-0.00067397411355817451,-0.0025419313101778785,0.050838626203557571,0.92781954887218043,True,True
MATR_B1C24,20,40,a0p1_d0p01_r0p5,40,False,0.15115222009104687,0.15115222009104687,0.0031646825489187458,0,0,0.0010735502763406402,0.00083070231496914972,0.00024284796137149047,0.0048569592274298095,0.47518796992481205,True,True
MATR_B1C26,20,40,a0p1_d0p01_r0p5,40,True,0.037496072690160309,0.041041165777033886,0.0035450930868735769,0.0035450930868735769,0.0063733989145271439,0.0011911271341790868,0.0003750802132674784,0.00081604692091160843,0.016320938418232168,0.62556390977443599,True,True
MATR_B1C28,20,40,a0p1_d0p01_r0p5,40,True,0.13012792097045658,0.1161345607840341,-0.013993360186422485,-0.013993360186422485,-0.015701877834563199,0.001217490229329125,0.00013247482658850429,0.0010850154027406207,0.021700308054812413,0.52481203007518795,True,True
MATR_B1C3,20,40,a0p1_d0p01_r0p5,40,False,0.068842839939948205,0.068842839939948205,-0.032034426784398294,0,0,0.00093070402300519104,-0.0016286591928975165,0.0025593632159027074,0.051187264318054149,0.38195488721804516,False,True
MATR_B1C30,20,40,a0p1_d0p01_r0p5,40,False,0.0230918077703029,0.0230918077703029,-0.0011621551445623671,0,0,-0.00059144358493544555,-0.0001887796333797083,-0.00040266395155573724,0.0080532790311147445,0.48721804511278188,False,True
MATR_B1C32,20,40,a0p1_d0p01_r0p5,40,False,0.013889397497037837,0.013889397497037837,0.00070426883543838956,0,0,0.00021221586963259635,3.1381864444773653e-05,0.00018083400518782269,0.0036166801037564537,0.23609022556390977,True,True
MATR_B1C34,20,40,a0p1_d0p01_r0p5,40,False,0.1221616770839616,0.1221616770839616,-0.012282789782517956,0,0,4.1447861347817153e-05,-0.00093884358493339227,0.00098029144628120936,0.019605828925624187,0.015037593984962403,False,True
MATR_B1C36,20,40,a0p1_d0p01_r0p5,40,False,0.022724628881940299,0.022724628881940299,2.2221440685782357e-05,0,0,0.00013099427427315882,0.00024026096825952454,-0.00010926669398636572,0.0021853338797273147,0.2857142857142857,True,False
MATR_B1C38,20,40,a0p1_d0p01_r0p5,40,False,0.090380813098921653,0.090380813098921653,-0.0045421559578651544,0,0,-0.00043737910028658026,-0.00080505050409882851,0.00036767140381224826,0.0073534280762449656,0.30827067669172931,True,False
MATR_B1C40,20,40,a0p1_d0p01_r0p5,40,False,0.037844062667159103,0.037844062667159103,0.0011027571421800761,0,0,0.0009536379212867985,-7.9802184074897868e-05,0.0010334401053616964,0.02066880210723393,0.30375939849624062,True,True
MATR_B1C42,20,40,a0p1_d0p01_r0p0,40,True,0.036461434999464727,0.044247947011541285,0.0077865120120765574,0.0077865120120765574,0.0076691591144941382,0.0011402243979852435,-1.4460546621524641e-05,0.0011546849446067682,0.023093698892135365,0.45413533834586461,True,True
MATR_B1C44,20,40,a0p1_d0p01_r0p5,40,False,0.30678699357773653,0.30678699357773653,0.0037097994057914141,0,0,-0.0039174193481663622,-0.0036267938204384929,-0.0002906255277278693,0.005812510554557386,0.97443609022556377,True,True
MATR_B1C5,20,40,a0p1_d0p01_r0p5,40,False,0.070616235078299144,0.070616235078299144,-0.0066867101214589109,0,0,-0.00097803426973719354,-0.0004589107607556072,-0.00051912350898158629,0.010382470179631726,0.46466165413533839,True,True
MATR_B1C7,20,40,a0p1_d0p01_r0p5,40,False,0.025319013214136387,0.025319013214136387,0.02620208976082616,0,0,0.002522535465645822,0.0050982745894982261,-0.0025757391238524041,0.051514782477048084,0.76842105263157878,True,False
MATR_B2C0,20,40,a0p1_d0p01_r0p5,40,True,4.3656367308626383,4.2552933785444038,-0.11034335231823444,-0.11034335231823444,-0.11214142457236154,-0.0086595694650472531,-0.00013884727831095845,-0.0085207221867362945,0.17041444373472589,0.66315789473684206,True,True
MATR_B2C11,20,40,a0p1_d0p01_r0p5,40,False,0.21402706285380257,0.21402706285380257,0.010234137015914607,0,0,-0.0010763314631053443,-0.0021163769419467395,0.0010400454788413952,0.020800909576827904,0.50827067669172921,True,False
MATR_B2C13,20,40,a0p1_d0p02_r0p5,40,True,0.21702834990084788,0.23057424721017653,0.013545897309328647,0.013545897309328647,0.020956909404512392,-0.00312649073151791,-0.0010554684184640255,-0.0020710223130538845,0.041420446261077687,0.93082706766917267,True,True
MATR_B2C17,20,40,a0p1_d0p01_r0p5,40,False,0.21095829440674593,0.21095829440674593,0.004293388201765197,0,0,0.016942733018710611,0.016558461597830886,0.00038427142087972543,0.0076854284175945087,0.90225563909774431,True,True
MATR_B2C19,20,40,a0p1_d0p01_r0p5,40,False,1.6561152402253398,1.6561152402253398,0.082483665114173377,0,0,0.00052885966584833948,0.006849819619186303,-0.0063209599533379634,0.12641919906675927,0.12781954887218044,False,False
