scenario_id,scenario_role,replicate_count,physical_cell_count,decision_count,activation_rate,decision_agreement,baseline_active_retention,false_activation_rate,activation_precision,mean_all_cell_delta_mae_pp,active_p90_delta_mae_pp,active_global_max_delta_mae_pp,p95_replicate_active_max_delta_mae_pp,p95_effective_correction_deviation_pp,passed,failed_thresholds
constant_offset_p0p20_pp,integrity,1,41,41,0.21951219512195122,1,1,0,1,-0.037316174770420561,-0.028344784544955128,-0.024098794113481571,-0.024098794113481571,0,True,
iid_noise_sigma_0p02_pp,qualification,128,41,5248,0.2886814024390244,0.84203506097560976,0.79774305555555558,0.1455078125,0.70297029702970293,-0.032028864461993899,0.026564422662693456,0.10075156722170389,0.064109826991419427,0.051127936026298219,False,minimum_decision_agreement|minimum_baseline_active_retention|maximum_false_activation_rate
iid_noise_sigma_0p05_pp,qualification,128,41,5248,0.33993902439024393,0.71951219512195119,0.63541666666666663,0.2568359375,0.58576233183856508,-0.026650912096105848,0.055937336351645703,0.2259265620313213,0.14140060188808648,0.10339894306357435,False,minimum_decision_agreement|minimum_baseline_active_retention|maximum_false_activation_rate|minimum_activation_precision|maximum_p95_replicate_active_max_delta_mae_pp
linear_drift_span_0p10_pp,diagnostic,128,41,5248,0.87766768292682928,0.23932926829268292,0.76649305555555558,0.908935546875,0.31654363873208857,0.0080245442002091459,0.13710618826763579,0.19034475889779467,0.19034475889779467,0.19389913981188009,,
noise_0p05_pp_plus_missing_10pct,qualification,128,41,5248,0.34851371951219512,0.70445884146341464,0.62065972222222221,0.27197265625,0.55494805904866051,-0.025919225071631753,0.058749188452735114,0.24582131575842006,0.1539507847698787,0.10339894306357435,False,minimum_decision_agreement|minimum_baseline_active_retention|maximum_false_activation_rate|minimum_activation_precision|maximum_p95_replicate_active_max_delta_mae_pp
random_missing_10pct,qualification,128,41,5248,0.25552591463414637,0.95865091463414631,0.98784722222222221,0.049560546875,0.90604026845637586,-0.037455636910885479,-0.013369620472498067,0.029747217508321738,0.028547757581705208,0.010352172491053547,True,
recent_block_missing_5,diagnostic,1,41,41,0.26829268292682928,0.90243902439024393,0.88888888888888884,0.09375,0.90909090909090906,-0.037039470540850619,-0.0012808619050808517,0.0065815300054899942,0.0065815300054899942,0.03604450182254202,,
reference_unperturbed,integrity,1,41,41,0.21951219512195122,1,1,0,1,-0.037316174770420561,-0.028344784544955128,-0.024098794113481571,-0.024098794113481571,0,True,
single_spike_0p20_pp,diagnostic,128,41,5248,0.24790396341463414,0.96398628048780488,0.98263888888888884,0.041259765625,0.92236740968485775,-0.037130410833303124,-0.018614878959449327,0.044392607178876699,0.028402596306501833,0.0083377964510593528,,
