scenario,prefix_checkups,candidate_method,independent_condition_count,shared_training_fold_count,candidate_trajectory_iae_pp_mean,comparator_trajectory_iae_pp_mean,mean_paired_delta_iae_pp,relative_iae_improvement_fraction,bootstrap_mean_delta_ci_lower_pp,bootstrap_mean_delta_ci_upper_pp,candidate_better_condition_count,candidate_worse_condition_count,candidate_equal_condition_count,mechanism_gate_ready_condition_count,descriptive_strict_superiority_criterion_met,bootstrap_inference_role,shared_fold_dependence_adjusted
v3_unseen_temperature_level,8,hierarchical_activation_offset_power_tau7_v3,17,5,0.62615241276394507,1.2600138173919362,-0.63386140462799101,0.5030590902090275,-1.2125359739455481,-0.17509337355488508,10,7,0,3,True,descriptive_resampling_only,False
v3_unseen_temperature_level,8,mechanism_gated_hierarchical_activation_offset_hybrid_v1,17,5,1.0205810326642504,1.2600138173919362,-0.23943278472768595,0.1900239357876887,-0.74346270317028074,0.025164348987222834,2,1,14,3,False,descriptive_resampling_only,False
v3_unseen_temperature_level,8,mechanism_gated_target_activation_offset_hybrid_v1,17,5,1.0887392636517008,1.2600138173919362,-0.1712745537402352,0.13593069486710177,-0.63032502458376316,0.096857262149437809,1,2,14,3,False,descriptive_resampling_only,False
v3_unseen_temperature_level,8,target_prefix_activation_offset_power_tau7_v1,17,5,0.74704207282293666,1.2600138173919362,-0.51297174456899941,0.40711596768897657,-1.0217835728126996,-0.11076059952873379,13,4,0,3,True,descriptive_resampling_only,False
v3_unseen_temperature_level,8,target_prefix_only_sqrt_time_v1,17,5,1.3717902834733298,1.2600138173919362,0.11177646608139379,-0.088710508201216592,-0.47324456018141531,0.71629118208632137,10,7,0,3,False,descriptive_resampling_only,False
v3_unseen_temperature_level,10,hierarchical_activation_offset_power_tau7_v3,17,5,0.35075651206967356,0.48012720519772029,-0.12937069312804669,0.26945086995178874,-0.34055724490009065,0.052409434849171981,8,9,0,3,False,descriptive_resampling_only,False
v3_unseen_temperature_level,10,mechanism_gated_hierarchical_activation_offset_hybrid_v1,17,5,0.39130612246326785,0.48012720519772029,-0.088821082734452439,0.18499489671258099,-0.25629424355382135,0.0020131561173305956,2,1,14,3,False,descriptive_resampling_only,False
v3_unseen_temperature_level,10,mechanism_gated_target_activation_offset_hybrid_v1,17,5,0.36622558367548513,0.48012720519772029,-0.11390162152223517,0.23723217574252961,-0.3147702885068363,0,3,0,14,3,False,descriptive_resampling_only,False
v3_unseen_temperature_level,10,target_prefix_activation_offset_power_tau7_v1,17,5,0.32239324277857523,0.48012720519772029,-0.15773396241914509,0.32852535892897161,-0.39293708633723307,0.048940436710334767,12,5,0,3,False,descriptive_resampling_only,False
v3_unseen_temperature_level,10,target_prefix_only_sqrt_time_v1,17,5,1.1287176361871776,0.48012720519772029,0.64859043098945746,-1.3508720688350964,0.24047062934448082,1.1038170947955488,3,14,0,3,False,descriptive_resampling_only,False
v3_unseen_temperature_level,14,hierarchical_activation_offset_power_tau7_v3,17,5,0.43840525998282803,0.33809614341407179,0.10030911656875627,-0.29668814188722065,0.030313931888997663,0.17869171274969384,4,13,0,3,False,descriptive_resampling_only,False
v3_unseen_temperature_level,14,mechanism_gated_hierarchical_activation_offset_hybrid_v1,17,5,0.35013657447050894,0.33809614341407179,0.012040431056437173,-0.035612447201715164,-0.0011694342956139003,0.037231021382123225,1,2,14,3,False,descriptive_resampling_only,False
v3_unseen_temperature_level,14,mechanism_gated_target_activation_offset_hybrid_v1,17,5,0.33516468428134444,0.33809614341407179,-0.0029314591327273534,0.0086704897107836836,-0.016236373590273849,0.0079809798428966249,2,1,14,3,False,descriptive_resampling_only,False
v3_unseen_temperature_level,14,target_prefix_activation_offset_power_tau7_v1,17,5,0.44310438234413718,0.33809614341407179,0.1050082389300654,-0.31058691728837651,0.031839080150808143,0.19052100523703031,4,13,0,3,False,descriptive_resampling_only,False
v3_unseen_temperature_level,14,target_prefix_only_sqrt_time_v1,17,5,0.86532843369447676,0.33809614341407179,0.52723229028040486,-1.5594152744732586,0.24756529066764635,0.80806392241410196,3,14,0,3,False,descriptive_resampling_only,False
