cell_id,target_condition_id,source_cell_number,storage_soc_fraction,target_elapsed_days,candidate_method,comparator_method,true_capacity_retention_pct,candidate_predicted_capacity_retention_pct,comparator_predicted_capacity_retention_pct,candidate_absolute_error_pp,comparator_absolute_error_pp,paired_delta_absolute_error_pp,candidate_outcome
GEISBAUER_LFP_CELL_095,GEISBAUER_LFP_T60_SOC100,95,1,84,mechanism_gated_hierarchical_activation_offset_hybrid_v1,target_prefix_only_sqrt_time_v1,91.486208701611943,97.544609580847521,97.42586904678916,6.0584008792355775,5.9396603451772165,0.11874053405836094,candidate_worse_negative_transfer
GEISBAUER_LFP_CELL_095,GEISBAUER_LFP_T60_SOC100,95,1,120,mechanism_gated_hierarchical_activation_offset_hybrid_v1,target_prefix_only_sqrt_time_v1,85.025191518249244,97.166017512058261,96.923325040549187,12.140825993809017,11.898133522299943,0.24269247150907347,candidate_worse_negative_transfer
GEISBAUER_LFP_CELL_096,GEISBAUER_LFP_T60_SOC100,96,1,84,mechanism_gated_hierarchical_activation_offset_hybrid_v1,target_prefix_only_sqrt_time_v1,93.702403960549901,99.675313407605131,99.855068493161241,5.9729094470552297,6.1526645326113396,-0.17975508555610986,candidate_better
GEISBAUER_LFP_CELL_096,GEISBAUER_LFP_T60_SOC100,96,1,120,mechanism_gated_hierarchical_activation_offset_hybrid_v1,target_prefix_only_sqrt_time_v1,87.007095527540983,99.630174800527769,99.826773716632374,12.623079272986786,12.819678189091391,-0.19659891610460534,candidate_better
GEISBAUER_LFP_CELL_112,GEISBAUER_LFP_T60_SOC100,112,1,84,mechanism_gated_hierarchical_activation_offset_hybrid_v1,target_prefix_only_sqrt_time_v1,91.190476096389673,97.26878621357875,97.120246204387826,6.0783101171890763,5.9297701079981522,0.14854000919092414,candidate_worse_negative_transfer
GEISBAUER_LFP_CELL_112,GEISBAUER_LFP_T60_SOC100,112,1,120,mechanism_gated_hierarchical_activation_offset_hybrid_v1,target_prefix_only_sqrt_time_v1,84.517552363652001,96.858865056664015,96.558035875645018,12.341312693012014,12.040483511993017,0.30082918101899736,candidate_worse_negative_transfer
GEISBAUER_LFP_CELL_115,GEISBAUER_LFP_T60_SOC50,115,0.5,84,mechanism_gated_hierarchical_activation_offset_hybrid_v1,target_prefix_only_sqrt_time_v1,101.66362687925452,99.973781739033768,100,1.6898451402207542,1.6636268792545224,0.02621826096623181,candidate_worse_negative_transfer
GEISBAUER_LFP_CELL_115,GEISBAUER_LFP_T60_SOC50,115,0.5,120,mechanism_gated_hierarchical_activation_offset_hybrid_v1,target_prefix_only_sqrt_time_v1,98.296803409177286,99.969380504726061,100,1.6725770955487747,1.7031965908227136,-0.030619495273938924,candidate_better
GEISBAUER_LFP_CELL_118,GEISBAUER_LFP_T60_SOC20,118,0.20000000000000001,84,mechanism_gated_hierarchical_activation_offset_hybrid_v1,target_prefix_only_sqrt_time_v1,101.70639244436741,99.970968883351588,100,1.7354235610158213,1.7063924443674097,0.029031116648411626,candidate_worse_negative_transfer
GEISBAUER_LFP_CELL_118,GEISBAUER_LFP_T60_SOC20,118,0.20000000000000001,120,mechanism_gated_hierarchical_activation_offset_hybrid_v1,target_prefix_only_sqrt_time_v1,100.2427767436657,99.964761420707191,100,0.27801532295850961,0.24277674366570068,0.035238579292808936,candidate_worse_negative_transfer
