target_condition_id,mean_route,requested_coverage,future_point_count,trajectory_iae_pp,point_mae_pp,final_error_pp,final_absolute_error_pp,diagnostic_interval_status,diagnostic_simultaneous_covered,diagnostic_pointwise_coverage_fraction,diagnostic_mean_width_pp,diagnostic_interval_score_mean,operational_issuance_status
NAUMANN_CAL_T40_SOC12.5,hierarchical_activation_residual,0.80000000000000004,25,0.34966859812323081,0.3225732847535181,0.70339311296021378,0.70339311296021378,unavailable,,,,,abstained
NAUMANN_CAL_T40_SOC12.5,hierarchical_activation_residual,0.90000000000000002,25,0.34966859812323081,0.3225732847535181,0.70339311296021378,0.70339311296021378,unavailable,,,,,abstained
NAUMANN_CAL_T40_SOC12.5,hierarchical_activation_residual,0.94999999999999996,25,0.34966859812323081,0.3225732847535181,0.70339311296021378,0.70339311296021378,unavailable,,,,,abstained
NAUMANN_CAL_T40_SOC37.5,hierarchical_power_fallback,0.80000000000000004,25,0.32321344073540731,0.30471616608512309,-0.50777992747633505,0.50777992747633505,available,True,1,1.9346642885590211,1.9346642885590211,abstained
NAUMANN_CAL_T40_SOC37.5,hierarchical_power_fallback,0.90000000000000002,25,0.32321344073540731,0.30471616608512309,-0.50777992747633505,0.50777992747633505,unavailable,,,,,abstained
NAUMANN_CAL_T40_SOC37.5,hierarchical_power_fallback,0.94999999999999996,25,0.32321344073540731,0.30471616608512309,-0.50777992747633505,0.50777992747633505,unavailable,,,,,abstained
NAUMANN_CAL_T40_SOC62.5,hierarchical_power_fallback,0.80000000000000004,25,0.19468821257391083,0.18995314583270045,-0.20083025394856691,0.20083025394856691,available,True,1,1.7721164814876715,1.7721164814876715,abstained
NAUMANN_CAL_T40_SOC62.5,hierarchical_power_fallback,0.90000000000000002,25,0.19468821257391083,0.18995314583270045,-0.20083025394856691,0.20083025394856691,unavailable,,,,,abstained
NAUMANN_CAL_T40_SOC62.5,hierarchical_power_fallback,0.94999999999999996,25,0.19468821257391083,0.18995314583270045,-0.20083025394856691,0.20083025394856691,unavailable,,,,,abstained
NAUMANN_CAL_T40_SOC87.5,hierarchical_power_fallback,0.80000000000000004,25,0.036617281875399248,0.038534096693907713,-0.041567156778498315,0.041567156778498315,available,True,1,1.3456714355048427,1.3456714355048427,abstained
NAUMANN_CAL_T40_SOC87.5,hierarchical_power_fallback,0.90000000000000002,25,0.036617281875399248,0.038534096693907713,-0.041567156778498315,0.041567156778498315,unavailable,,,,,abstained
NAUMANN_CAL_T40_SOC87.5,hierarchical_power_fallback,0.94999999999999996,25,0.036617281875399248,0.038534096693907713,-0.041567156778498315,0.041567156778498315,unavailable,,,,,abstained
