audit_family,scenario_id,removed_condition_id,mean_route,requested_coverage,calibration_condition_count,evaluation_condition_count,order_statistic_rank,multiplier,quantile_status,diagnostic_available_evaluation_count,diagnostic_covered_evaluation_count,diagnostic_coverage_fraction_among_available,all_evaluation_diagnostic_available,all_evaluation_simultaneously_covered,all_evaluation_available_and_covered,diagnostic_mean_width_pp,diagnostic_max_width_pp,diagnostic_interval_score_mean
exhaustive_six_of_ten_partition,partition_006_55c15434efa9,,hierarchical_activation_residual,0.94999999999999996,2,0,3,,unavailable_finite_sample_full_physical_range,0,0,,,,,,,
exhaustive_six_of_ten_partition,partition_006_55c15434efa9,,hierarchical_power_fallback,0.80000000000000004,4,4,4,2.1698424743004083,finite_order_statistic,4,4,1,True,True,True,1.6751408984469403,4.1087384001945395,1.6751408984469403
exhaustive_six_of_ten_partition,partition_006_55c15434efa9,,hierarchical_power_fallback,0.90000000000000002,4,4,5,,unavailable_finite_sample_full_physical_range,0,0,,False,,False,,,
exhaustive_six_of_ten_partition,partition_006_55c15434efa9,,hierarchical_power_fallback,0.94999999999999996,4,4,5,,unavailable_finite_sample_full_physical_range,0,0,,False,,False,,,
exhaustive_six_of_ten_partition,partition_007_f04d3ecb869f,,hierarchical_activation_residual,0.80000000000000004,2,0,3,,unavailable_finite_sample_full_physical_range,0,0,,,,,,,
exhaustive_six_of_ten_partition,partition_007_f04d3ecb869f,,hierarchical_activation_residual,0.90000000000000002,2,0,3,,unavailable_finite_sample_full_physical_range,0,0,,,,,,,
exhaustive_six_of_ten_partition,partition_007_f04d3ecb869f,,hierarchical_activation_residual,0.94999999999999996,2,0,3,,unavailable_finite_sample_full_physical_range,0,0,,,,,,,
exhaustive_six_of_ten_partition,partition_007_f04d3ecb869f,,hierarchical_power_fallback,0.80000000000000004,4,4,4,1.4840726147248924,finite_order_statistic,4,3,0.75,True,False,False,1.2320969591425917,2.916871079971969,1.5916846496428232
exhaustive_six_of_ten_partition,partition_007_f04d3ecb869f,,hierarchical_power_fallback,0.90000000000000002,4,4,5,,unavailable_finite_sample_full_physical_range,0,0,,False,,False,,,
exhaustive_six_of_ten_partition,partition_007_f04d3ecb869f,,hierarchical_power_fallback,0.94999999999999996,4,4,5,,unavailable_finite_sample_full_physical_range,0,0,,False,,False,,,
exhaustive_six_of_ten_partition,partition_008_febb0a7e3c3d,,hierarchical_activation_residual,0.80000000000000004,2,0,3,,unavailable_finite_sample_full_physical_range,0,0,,,,,,,
exhaustive_six_of_ten_partition,partition_008_febb0a7e3c3d,,hierarchical_activation_residual,0.90000000000000002,2,0,3,,unavailable_finite_sample_full_physical_range,0,0,,,,,,,
exhaustive_six_of_ten_partition,partition_008_febb0a7e3c3d,,hierarchical_activation_residual,0.94999999999999996,2,0,3,,unavailable_finite_sample_full_physical_range,0,0,,,,,,,
exhaustive_six_of_ten_partition,partition_008_febb0a7e3c3d,,hierarchical_power_fallback,0.80000000000000004,4,4,4,1.4840726147248924,finite_order_statistic,4,3,0.75,True,False,False,1.3004975064086666,2.916871079971969,1.6600851969088981
exhaustive_six_of_ten_partition,partition_008_febb0a7e3c3d,,hierarchical_power_fallback,0.90000000000000002,4,4,5,,unavailable_finite_sample_full_physical_range,0,0,,False,,False,,,
exhaustive_six_of_ten_partition,partition_008_febb0a7e3c3d,,hierarchical_power_fallback,0.94999999999999996,4,4,5,,unavailable_finite_sample_full_physical_range,0,0,,False,,False,,,
exhaustive_six_of_ten_partition,partition_009_c4976fe59509,,hierarchical_activation_residual,0.80000000000000004,2,0,3,,unavailable_finite_sample_full_physical_range,0,0,,,,,,,
exhaustive_six_of_ten_partition,partition_009_c4976fe59509,,hierarchical_activation_residual,0.90000000000000002,2,0,3,,unavailable_finite_sample_full_physical_range,0,0,,,,,,,
exhaustive_six_of_ten_partition,partition_009_c4976fe59509,,hierarchical_activation_residual,0.94999999999999996,2,0,3,,unavailable_finite_sample_full_physical_range,0,0,,,,,,,
exhaustive_six_of_ten_partition,partition_009_c4976fe59509,,hierarchical_power_fallback,0.80000000000000004,4,4,4,1.4840726147248924,finite_order_statistic,4,3,0.75,True,False,False,1.3050141664887451,2.916871079971969,1.6646018569889767
exhaustive_six_of_ten_partition,partition_009_c4976fe59509,,hierarchical_power_fallback,0.90000000000000002,4,4,5,,unavailable_finite_sample_full_physical_range,0,0,,False,,False,,,
exhaustive_six_of_ten_partition,partition_009_c4976fe59509,,hierarchical_power_fallback,0.94999999999999996,4,4,5,,unavailable_finite_sample_full_physical_range,0,0,,False,,False,,,
exhaustive_six_of_ten_partition,partition_010_71057edaa9b6,,hierarchical_activation_residual,0.80000000000000004,2,0,3,,unavailable_finite_sample_full_physical_range,0,0,,,,,,,
exhaustive_six_of_ten_partition,partition_010_71057edaa9b6,,hierarchical_activation_residual,0.90000000000000002,2,0,3,,unavailable_finite_sample_full_physical_range,0,0,,,,,,,
exhaustive_six_of_ten_partition,partition_010_71057edaa9b6,,hierarchical_activation_residual,0.94999999999999996,2,0,3,,unavailable_finite_sample_full_physical_range,0,0,,,,,,,
exhaustive_six_of_ten_partition,partition_010_71057edaa9b6,,hierarchical_power_fallback,0.80000000000000004,4,4,4,2.1698424743004083,finite_order_statistic,4,4,1,True,True,True,1.7157778502147778,4.1087384001945395,1.7157778502147778
exhaustive_six_of_ten_partition,partition_010_71057edaa9b6,,hierarchical_power_fallback,0.90000000000000002,4,4,5,,unavailable_finite_sample_full_physical_range,0,0,,False,,False,,,
